station id, station name, valid,povp. T [°C],količina padavin [mm]

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 00:00,20.9,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 00:10,20.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 00:20,20.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 00:30,20.3,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 00:40,20.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 00:50,20.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 01:00,20.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 01:10,20.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 01:20,20.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 01:30,20.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 01:40,20.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 01:50,20.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 02:00,19.9,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 02:10,19.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 02:20,19.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 02:30,19.9,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 02:40,19.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 02:50,19.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 03:00,19.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 03:10,19.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 03:20,19.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 03:30,19.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 03:40,19.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 03:50,19.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 04:00,19.3,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 04:10,19.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 04:20,19.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 04:30,18.9,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 04:40,18.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 04:50,18.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 05:00,18.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 05:10,18.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 05:20,18.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 05:30,18.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 05:40,18.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 05:50,18.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 06:00,18.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 06:10,18.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 06:20,19.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 06:30,19.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 06:40,19.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 06:50,20.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 07:00,20.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 07:10,20.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 07:20,20.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 07:30,21.3,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 07:40,21.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 07:50,21.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 08:00,22.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 08:10,22.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 08:20,22.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 08:30,23.1,0

